EE Code,Fund Code,Fund Code Desc
A0AB,UNA,Unassigned
A16Q,UNA,Unassigned
A0TY,567CO-21,VA SSVF COVID-19
A1QH,524-22,Dss Ceap Admin
A1IO,650-18,Retreat
A1KE,650-22,Retreat
A10L,650-22,Retreat
A11E,611-17,Dss His
A06K,UNA,Unassigned
A0OM,UNA,Unassigned
A1SD,605C-19,Congregate
A1PV,UNA,Unassigned
A155,419-25,COH SR Full Day
A13T,UNA,Unassigned
A09I,669-18,CRT Local Unrestricted
A1TK,544-22,Oec Infanty Daycare
A19H,605-18,Elderly Nutrition
A145,694-17,Third Party Catering
A1V8,419-25,COH SR Full Day
A1VR,544-25,OEC Infant Daycare
A03C,544-22,Oec Infanty Daycare
A1XR,669-18,CRT Local Unrestricted
A1AF,605C-20,Congregate
A1ZS,UNA,Unassigned
A0UZ,501-17,Usdol-youthbuild 26185
A10N,524-24,DSS CEAP Admin
A09U,363RIT-26,Ritter
A1LD,524-23,DSS CEAP Admin
A0JI,UNA,Unassigned
A0LY,659-18,salaries 2017
A1UW,718-21,Ritter Learning Hub
A1WF,UNA,Unassigned
A0DB,UNA,Unassigned
A1TJ,638-19,Behavioral Health Services
A0Q9,609-18,Dss Csbg
A0FI,UNA,Unassigned
A1MJ,650-17,Retreat
A1M5,UNA,Unassigned
A1GL,UNA,Unassigned
A1FL,609CO-21,CSBG CARES ACT
A0S7,332-24,Healthy Families
A1VG,661-18,ACF HeadStart PA22
A12D,650-25,Retreat
A1S5,544-20,Oec Infanty Daycare
A1PI,544-20,Oec Infanty Daycare
A11U,UNA,Unassigned
A05T,605C-24,Elderly Nutrition Congregate
A127,650-24,Retreat
A0LV,609-18,Dss Csbg
A0UP,UNA,Unassigned
A1BA,UNA,Unassigned
A0PV,650-19,Retreat
A1F6,609ACB-22,CSBG Agency Capacity Building
A09Q,419-23,Coh Sr Full Day
A0YR,UNA,Unassigned
A1I5,UNA,Unassigned
A1AZ,UNA,Unassigned
A106,638-25,Behavioral Health Services
A1CZ,363RIT-26,Ritter
A0VQ,UNA,Unassigned
A16X,UNA,Unassigned
A0NY,UNA,Unassigned
A20F,650-22,Retreat
A0PX,UNA,Unassigned
A0CI,650-22,Retreat
A0BZ,650-21,Retreat
A1IZ,UNA,Unassigned
A1PW,363JOB-26,Job Corps
A0ZA,650-25,Retreat
A1J8,650-25,Retreat
A1L0,659-17,salaries 2017
A039,605HD-24,Elderly Nutrition Home Delivered
A0T8,605C-24,Elderly Nutrition Congregate
A1F4,564HD-23,ENP Midstate Region Home Delivered
A1K3,661-18,ACF HeadStart PA22
A095,605HD-26,Elderly Nutrition Home Delivered
A1YS,363RIT-26,Ritter
A1M7,UNA,Unassigned
A065,650-23,Retreat
A1QE,650-20,Retreat
A1YT,363JOB-26,Job Corps
A1U0,UNA,Unassigned
A1IL,UNA,Unassigned
A1VQ,694-18,Third Party Catering
A165,699,Crt Local Unrestricted
A1BQ,524-23,DSS CEAP Admin
